,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1
3,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0
4,1,1,1,1,1,1,1,0,1,1,,1,1,0,0,1,1,1
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
8,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0
9,,0,1,1,0,0,0,1,,1,,0,0,1,0,,1,0
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
15,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0
16,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
20,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
22,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
23,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
24,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
27,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0
28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
32,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1
33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0
35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
52,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
53,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
54,,0,1,1,1,1,1,1,,1,,1,1,1,1,0,1,1
55,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,1,0,0,0,1,0,0,0,1,0,,1,0,1,
58,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,1,0,0,0,0,0,,1,,0,0,0,0,0,0,0
61,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
62,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
63,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0
64,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1
65,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
66,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
67,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
